단과대학,학부/학과,전공,홈페이지,기존 크롤링 적용 가능 여부,약칭
인문사회과학대학,-,-,http://chss.pknu.ac.kr/,○,chss
인문사회과학대학,국어국문학과,-,http://kukmun.pknu.ac.kr/,,kukmun
인문사회과학대학,영어영문학부,-,http://english.pknu.ac.kr/,,english
인문사회과학대학,일어일문학부,-,http://japanese.pknu.ac.kr/,,japanese
인문사회과학대학,사학과,-,http://history.pknu.ac.kr/,,history
인문사회과학대학,경제학과,-,https://econ.pknu.ac.kr/,,econ
인문사회과학대학,법학과,-,http://pknulaw.pknu.ac.kr/,,pknulaw
인문사회과학대학,행정복지학부,-,http://pknupa.pknu.ac.kr/,,pknupa
인문사회과학대학,행정복지학부,사회복지학전공,https://icms.pknu.ac.kr/ps1,,ps1
인문사회과학대학,국제지역학부,-,http://dias.pknu.ac.kr/,,dias
인문사회과학대학,중국학과,-,http://chinese.pknu.ac.kr/,,chinese
인문사회과학대학,정치외교학과,-,http://politics.pknu.ac.kr/,,politics
인문사회과학대학,유아교육과,-,http://education.pknu.ac.kr/,,education
인문사회과학대학,패션디자인학과,-,http://fashion.pknu.ac.kr/,,fashion
인문사회과학대학,사회계열,-,-,,
인문사회과학대학,인문사회과학대학 자유전공학부,-,https://hssliberal.pknu.ac.kr/,,hssliberal
자연과학대학,-,-,http://cns.pknu.ac.kr/,,cns
자연과학대학,응용수학과,-,https://math.pknu.ac.kr/,,math
자연과학대학,물리학과,-,https://physics.pknu.ac.kr/,,physics
자연과학대학,화학과,-,https://chem.pknu.ac.kr/,,chem
자연과학대학,미생물학과,-,http://microbiology.pknu.ac.kr/,,microbiology
자연과학대학,간호학과,-,http://nursing.pknu.ac.kr/,,nursing
자연과학대학,과학컴퓨팅학과,-,https://scicomp.pknu.ac.kr/,,scicomp
자연과학대학,자연과학대학 자유전공학부,-,https://nsum.pknu.ac.kr/,,nsum
경영대학,-,-,http://cba.pknu.ac.kr/,,cba
경영대학,경영학부,-,http://dba.pknu.ac.kr/,,dba
경영대학,국제통상학부,-,http://pknudic.pknu.ac.kr/,,pknudic
경영대학,경영대학 자유전공학부,-,https://cbaliberal.pknu.ac.kr/,,cbaliberal
공과대학,-,-,https://coe.pknu.ac.kr/,,coe
공과대학,전기공학부,전기공학전공,http://electric-eng.pknu.ac.kr/,,electric-eng
공과대학,전기공학부,제어계측공학전공,http://control.pknu.ac.kr/,,control
공과대학,전기공학부,디스플레이반도체공학전공,https://semicon.pknu.ac.kr/,,semicon
공과대학,기계공학부,기계학전공,http://me.pknu.ac.kr/,,me
공과대학,기계공학부,기계설계공학전공,http://mae.pknu.ac.kr/,,mae
공과대학,에너지수송시스템공학부,냉동공조공학전공,http://ref.pknu.ac.kr/,,ref
공과대학,에너지수송시스템공학부,기계시스템공학전공,http://mse.pknu.ac.kr/,,mse
공과대학,에너지수송시스템공학부,조선해양시스템공학전공,https://name.pknu.ac.kr/,,name
공과대학,화학공학과,-,http://chemeng.pknu.ac.kr/,,chemeng
